Date,Confirmed,Recovered,Deceased
26-04-2020,2181,140,104
27-04-2020,2379,212,109
28-04-2020,2543,241,128
29-04-2020,2777,263,137
30-04-2020,3026,316,149
01-05-2020,3293,399,165
02-05-2020,3543,462,185
03-05-2020,3817,533,208
04-05-2020,4076,620,234
05-05-2020,4425,704,273
06-05-2020,4716,778,298
07-05-2020,4991,886,321
08-05-2020,5260,1001,343
09-05-2020,5540,1107,363
10-05-2020,5818,1373,381
11-05-2020,6086,1482,400
12-05-2020,6353,1874,421
13-05-2020,6645,2112,446
14-05-2020,6910,2247,465
15-05-2020,7171,2382,479
16-05-2020,8144,2545,493
17-05-2020,8420,2660,524
18-05-2020,8683,2841,555
19-05-2020,8945,3023,576
20-05-2020,9216,3130,602
21-05-2020,9449,3330,619
22-05-2020,9724,3658,645
23-05-2020,10001,3864,669
24-05-2020,10280,4051,697
25-05-2020,10590,4187,722
26-05-2020,10841,4623,745
27-05-2020,11097,4950,764
28-05-2020,11344,5331,780
29-05-2020,11597,5799,798
30-05-2020,11881,6317,822
31-05-2020,12180,6918,842
01-06-2020,12494,7708,864
02-06-2020,12773,8727,888
03-06-2020,13063,8932,910
04-06-2020,13354,9228,938
05-06-2020,13678,9479,968
06-06-2020,13967,9689,994
07-06-2020,14285,9912,1015
08-06-2020,14631,10130,1039
09-06-2020,14962,10378,1066
10-06-2020,15305,10644,1092
11-06-2020,15635,10875,1117
12-06-2020,15962,11118,1139
13-06-2020,16306,11373,1165
14-06-2020,16640,11597,1187
15-06-2020,16967,11822,1210
16-06-2020,17299,12057,1231
17-06-2020,17629,12280,1253
18-06-2020,17946,12561,1275
19-06-2020,18258,12767,1296
20-06-2020,18564,13185,1312
21-06-2020,18837,13612,1332
22-06-2020,19151,14013,1348
23-06-2020,19386,14434,1363
24-06-2020,19601,14835,1378
25-06-2020,19839,15051,1390
26-06-2020,20058,15261,1398
27-06-2020,20269,15479,1410
28-06-2020,20480,15660,1423
29-06-2020,20716,15831,1432
30-06-2020,20913,15968,1441
01-07-2020,21128,16093,1449
02-07-2020,21339,16254,1456
03-07-2020,21543,16385,1466
04-07-2020,21715,16613,1475
05-07-2020,21892,16829,1484
06-07-2020,22075,17069,1491
07-07-2020,22262,17193,1496
08-07-2020,22418,17363,1501
09-07-2020,22580,17502,1506
10-07-2020,22745,17663,1511
11-07-2020,22923,17789,1515
12-07-2020,23095,17922,1519
13-07-2020,23259,18047,1522
14-07-2020,23426,18227,1525
15-07-2020,23599,18439,1527
16-07-2020,23780,18627,1532
17-07-2020,23964,18792,1537
18-07-2020,24163,18961,1541
19-07-2020,24375,19128,1547
20-07-2020,24568,19328,1551
21-07-2020,24767,19533,1557
22-07-2020,24963,19745,1560
23-07-2020,25173,19948,1565
24-07-2020,25349,20153,1568
25-07-2020,25529,20323,1572
26-07-2020,25692,20491,1575
27-07-2020,25876,20954,1579
28-07-2020,26032,21120,1583
29-07-2020,26184,21237,1588
30-07-2020,26341,21356,1593
31-07-2020,26517,21468,1597
01-08-2020,26663,21585,1601
02-08-2020,26818,21692,1603
03-08-2020,26969,21801,1609
04-08-2020,27122,21908,1612
05-08-2020,27283,22035,1617
06-08-2020,27434,22152,1622
07-08-2020,27587,22272,1625
08-08-2020,27745,22393,1630
09-08-2020,27898,22499,1633
10-08-2020,28042,22612,1637
11-08-2020,28192,22816,1640
12-08-2020,28351,23038,1644
13-08-2020,28517,23273,1648
14-08-2020,28678,23520,1652
15-08-2020,28840,23708,1655
16-08-2020,29004,23882,1659
17-08-2020,29162,24064,1662
18-08-2020,29327,24242,1666
19-08-2020,29490,24422,1670
20-08-2020,29662,24589,1674
21-08-2020,29841,24756,1677
22-08-2020,30020,24932,1680
23-08-2020,30197,25104,1685
24-08-2020,30362,25268,1688
25-08-2020,30519,25441,1692
26-08-2020,30682,25605,1697
27-08-2020,30845,25757,1700
28-08-2020,31013,25919,1705
29-08-2020,31177,26079,1708
30-08-2020,31346,26243,1712
31-08-2020,31519,26371,1715
01-09-2020,31678,26455,1719
02-09-2020,31847,26541,1722
03-09-2020,32013,26617,1725
04-09-2020,32184,26702,1729
05-09-2020,32351,26780,1731
06-09-2020,32524,26857,1734
07-09-2020,32696,26938,1737
08-09-2020,32866,27033,1740
09-09-2020,33037,27154,1744
10-09-2020,33204,27288,1748
11-09-2020,33378,27415,1751
12-09-2020,33553,27566,1754
13-09-2020,33725,27722,1758
14-09-2020,33900,27915,1761
15-09-2020,34072,28130,1765
16-09-2020,34237,28374,1768
17-09-2020,34408,28598,1772
18-09-2020,34581,28801,1775
19-09-2020,34759,28985,1778
20-09-2020,34942,29130,1782
21-09-2020,35119,29250,1785
22-09-2020,35304,29374,1788
23-09-2020,35489,29503,1791
24-09-2020,35672,29626,1794
25-09-2020,35854,29751,1797
26-09-2020,36049,29933,1800
27-09-2020,36246,30135,1803
28-09-2020,36456,30345,1806
29-09-2020,36651,30581,1809
30-09-2020,36848,30848,1812
01-10-2020,37041,31104,1815
02-10-2020,37239,31362,1818
03-10-2020,37433,31616,1822
04-10-2020,37624,31888,1825
05-10-2020,37811,32154,1828
06-10-2020,37998,32415,1831
07-10-2020,38186,32687,1835
08-10-2020,38381,32929,1838
09-10-2020,38561,33145,1841
10-10-2020,38737,33350,1845
11-10-2020,38926,33548,1849
12-10-2020,39110,33740,1852
13-10-2020,39287,33940,1855
14-10-2020,39469,34140,1859
15-10-2020,39655,34320,1863
16-10-2020,39844,34497,1866
17-10-2020,40027,34676,1868
18-10-2020,40210,34866,1873
19-10-2020,40388,35056,1876
20-10-2020,40566,35232,1878
21-10-2020,40743,35413,1880
22-10-2020,40922,35588,1883
23-10-2020,41104,35759,1885
24-10-2020,41281,35892,1887
25-10-2020,41455,35999,1890
26-10-2020,41628,36111,1892
27-10-2020,41798,36439,1894
28-10-2020,41984,36666,1897
29-10-2020,42155,36885,1898
30-10-2020,42336,37109,1900
31-10-2020,42514,37334,1902
01-11-2020,42691,37553,1904
02-11-2020,42868,37667,1906
03-11-2020,43034,37835,1908
04-11-2020,43208,38009,1911
05-11-2020,43381,38185,1913
06-11-2020,43556,38427,1915
07-11-2020,43738,38634,1917
08-11-2020,43923,38833,1919
09-11-2020,44106,39017,1921
10-11-2020,44284,39172,1924
11-11-2020,44491,39321,1926
12-11-2020,44690,39481,1929
13-11-2020,44909,39666,1932
14-11-2020,45124,39861,1934
15-11-2020,45343,40090,1937
16-11-2020,45568,40315,1940
17-11-2020,45802,40532,1944
18-11-2020,46022,40753,1949
19-11-2020,46268,41016,1952
20-11-2020,46595,41287,1955
21-11-2020,46968,41609,1960
22-11-2020,47309,41979,1968
23-11-2020,47653,42332,1981
24-11-2020,48000,42694,1993
25-11-2020,48349,43045,2003
26-11-2020,48710,43402,2015
27-11-2020,49063,43758,2026
28-11-2020,49420,44135,2036
29-11-2020,49765,44495,2047
