Date,Confirmed,Recovered,Deceased
13-05-2020,1,0,0
14-05-2020,1,0,0
15-05-2020,1,0,0
16-05-2020,1,0,0
17-05-2020,2,0,0
18-05-2020,2,0,0
19-05-2020,2,0,0
20-05-2020,2,0,0
21-05-2020,2,0,0
22-05-2020,2,0,0
23-05-2020,4,0,0
24-05-2020,4,0,0
25-05-2020,6,0,0
26-05-2020,7,0,0
27-05-2020,8,0,0
28-05-2020,8,2,0
29-05-2020,8,2,0
30-05-2020,9,2,0
31-05-2020,10,2,1
01-06-2020,10,2,1
02-06-2020,10,2,1
03-06-2020,10,2,1
04-06-2020,10,2,1
05-06-2020,14,2,1
06-06-2020,14,4,1
07-06-2020,15,6,1
08-06-2020,16,6,1
09-06-2020,19,8,2
10-06-2020,19,9,2
11-06-2020,19,9,2
12-06-2020,21,9,2
13-06-2020,24,9,4
14-06-2020,27,9,4
15-06-2020,28,10,4
16-06-2020,32,11,4
17-06-2020,34,11,4
18-06-2020,36,11,4
19-06-2020,36,11,4
20-06-2020,40,13,4
21-06-2020,44,13,4
22-06-2020,46,14,4
23-06-2020,47,17,5
24-06-2020,51,21,5
25-06-2020,54,23,5
26-06-2020,59,25,5
27-06-2020,62,28,5
28-06-2020,72,29,5
29-06-2020,82,32,6
30-06-2020,85,33,6
01-07-2020,88,36,7
02-07-2020,95,42,7
03-07-2020,95,42,7
04-07-2020,97,46,7
05-07-2020,98,46,7
06-07-2020,105,48,7
07-07-2020,111,48,7
08-07-2020,118,66,8
09-07-2020,126,75,8
10-07-2020,129,78,8
11-07-2020,133,80,8
12-07-2020,149,83,8
13-07-2020,178,85,8
14-07-2020,180,88,8
15-07-2020,194,90,8
16-07-2020,200,93,8
17-07-2020,203,95,8
18-07-2020,213,109,8
19-07-2020,226,116,8
20-07-2020,239,116,8
21-07-2020,246,135,8
22-07-2020,262,149,8
23-07-2020,265,161,8
24-07-2020,291,165,8
25-07-2020,294,169,8
26-07-2020,333,175,8
27-07-2020,355,186,8
28-07-2020,381,195,8
29-07-2020,405,202,8
30-07-2020,429,230,8
31-07-2020,455,234,8
01-08-2020,466,241,8
02-08-2020,483,254,8
03-08-2020,502,273,8
04-08-2020,520,296,8
05-08-2020,550,311,8
06-08-2020,570,324,8
07-08-2020,591,347,9
08-08-2020,624,358,10
09-08-2020,659,375,10
10-08-2020,701,400,11
