Date,Confirmed,Recovered,Deceased
26-04-2020,49,14,3
27-04-2020,51,15,3
28-04-2020,60,18,3
29-04-2020,71,23,3
30-04-2020,74,24,4
01-05-2020,74,30,4
02-05-2020,74,31,5
03-05-2020,74,34,6
04-05-2020,75,37,6
05-05-2020,75,37,6
06-05-2020,76,38,6
07-05-2020,76,43,6
08-05-2020,77,46,6
09-05-2020,77,46,6
10-05-2020,78,63,7
11-05-2020,80,70,7
12-05-2020,80,70,7
13-05-2020,80,70,7
14-05-2020,82,70,7
15-05-2020,82,70,8
16-05-2020,82,71,8
17-05-2020,83,74,8
18-05-2020,83,74,8
19-05-2020,83,74,8
20-05-2020,85,75,8
21-05-2020,85,75,9
22-05-2020,87,75,9
23-05-2020,90,75,9
24-05-2020,91,75,9
25-05-2020,93,77,10
26-05-2020,93,77,10
27-05-2020,95,77,10
28-05-2020,97,77,10
29-05-2020,97,78,10
30-05-2020,99,82,10
31-05-2020,99,82,10
01-06-2020,101,84,10
02-06-2020,101,87,10
03-06-2020,102,87,10
04-06-2020,106,91,10
05-06-2020,106,91,11
06-06-2020,108,91,11
07-06-2020,111,91,11
08-06-2020,111,92,11
09-06-2020,115,93,11
10-06-2020,119,95,11
11-06-2020,124,99,12
12-06-2020,124,101,12
13-06-2020,125,101,12
14-06-2020,128,104,12
15-06-2020,129,107,12
16-06-2020,131,108,12
17-06-2020,135,111,13
18-06-2020,141,118,13
19-06-2020,142,126,13
20-06-2020,146,126,13
21-06-2020,150,126,13
22-06-2020,156,132,13
23-06-2020,158,134,13
24-06-2020,167,139,13
25-06-2020,174,147,13
26-06-2020,182,157,13
27-06-2020,193,165,13
28-06-2020,196,168,13
29-06-2020,207,178,13
30-06-2020,221,184,13
01-07-2020,229,192,13
02-07-2020,232,192,13
03-07-2020,241,202,13
04-07-2020,245,210,13
05-07-2020,245,210,13
06-07-2020,246,211,13
07-07-2020,256,216,13
08-07-2020,261,227,13
09-07-2020,272,233,13
10-07-2020,279,241,13
11-07-2020,287,247,13
12-07-2020,298,254,13
13-07-2020,307,267,13
14-07-2020,317,273,13
15-07-2020,325,285,13
16-07-2020,334,295,13
17-07-2020,342,303,13
18-07-2020,349,311,13
19-07-2020,356,318,13
20-07-2020,362,325,13
21-07-2020,370,333,13
22-07-2020,377,341,13
23-07-2020,386,345,13
24-07-2020,396,352,13
25-07-2020,406,358,13
26-07-2020,417,362,13
27-07-2020,429,370,13
28-07-2020,440,374,13
29-07-2020,450,389,13
30-07-2020,461,399,13
31-07-2020,472,402,13
01-08-2020,484,416,13
02-08-2020,500,424,13
03-08-2020,511,443,13
04-08-2020,520,443,13
05-08-2020,532,464,13
06-08-2020,538,475,13
07-08-2020,552,484,14
08-08-2020,561,495,14
09-08-2020,566,508,14
10-08-2020,568,523,14
11-08-2020,578,532,14
12-08-2020,591,542,14
13-08-2020,600,548,14
14-08-2020,612,548,14
15-08-2020,620,592,14
16-08-2020,629,592,14
17-08-2020,638,599,14
18-08-2020,646,604,14
19-08-2020,659,611,14
20-08-2020,667,617,14
21-08-2020,681,617,15
22-08-2020,697,623,15
23-08-2020,708,631,15
24-08-2020,712,646,15
25-08-2020,718,649,15
26-08-2020,726,649,15
27-08-2020,733,668,16
28-08-2020,749,668,16
29-08-2020,759,676,16
30-08-2020,770,676,16
31-08-2020,790,707,16
01-09-2020,793,710,16
02-09-2020,804,710,16
03-09-2020,819,727,16
04-09-2020,831,728,16
05-09-2020,840,746,16
06-09-2020,854,746,16
07-09-2020,866,754,16
08-09-2020,881,761,16
09-09-2020,893,796,16
10-09-2020,900,796,16
11-09-2020,916,819,16
12-09-2020,922,819,16
13-09-2020,932,819,16
14-09-2020,935,845,16
15-09-2020,941,852,16
16-09-2020,950,863,16
17-09-2020,957,876,16
18-09-2020,968,880,16
19-09-2020,978,901,16
20-09-2020,988,901,16
21-09-2020,1000,919,16
22-09-2020,1005,934,16
23-09-2020,1012,943,16
24-09-2020,1020,949,16
25-09-2020,1033,962,16
26-09-2020,1037,972,16
27-09-2020,1053,972,16
28-09-2020,1066,1004,16
29-09-2020,1078,1004,16
30-09-2020,1088,1032,16
01-10-2020,1100,1049,16
02-10-2020,1112,1057,16
03-10-2020,1125,1057,16
04-10-2020,1133,1057,16
05-10-2020,1144,1088,16
06-10-2020,1157,1099,16
07-10-2020,1171,1099,16
08-10-2020,1182,1121,16
09-10-2020,1194,1130,16
10-10-2020,1203,1130,16
11-10-2020,1214,1130,16
12-10-2020,1223,1130,16
13-10-2020,1239,1169,16
14-10-2020,1251,1180,16
15-10-2020,1264,1194,16
16-10-2020,1279,1205,16
17-10-2020,1287,1216,16
18-10-2020,1297,1216,16
19-10-2020,1304,1231,16
20-10-2020,1318,1239,16
21-10-2020,1331,1257,16
22-10-2020,1340,1264,16
23-10-2020,1356,1273,16
24-10-2020,1366,1283,16
25-10-2020,1375,1283,16
26-10-2020,1388,1307,16
27-10-2020,1401,1329,16
28-10-2020,1411,1329,16
29-10-2020,1420,1347,16
30-10-2020,1428,1355,16
31-10-2020,1443,1355,16
01-11-2020,1451,1355,16
02-11-2020,1465,1366,16
03-11-2020,1472,1393,16
04-11-2020,1485,1397,16
05-11-2020,1494,1413,16
06-11-2020,1505,1433,16
07-11-2020,1514,1444,16
08-11-2020,1523,1444,16
09-11-2020,1527,1460,16
10-11-2020,1533,1470,16
11-11-2020,1547,1488,16
12-11-2020,1561,1499,16
13-11-2020,1579,1512,16
14-11-2020,1588,1524,16
15-11-2020,1603,1529,16
16-11-2020,1611,1529,16
17-11-2020,1628,1529,16
18-11-2020,1642,1571,16
19-11-2020,1661,1582,16
20-11-2020,1671,1611,16
21-11-2020,1679,1621,16
22-11-2020,1694,1621,16
23-11-2020,1721,1629,16
24-11-2020,1740,1634,16
25-11-2020,1760,1641,16
26-11-2020,1788,1658,16
27-11-2020,1825,1680,16
28-11-2020,1850,1680,16
29-11-2020,1878,1706,16
30-11-2020,1894,1721,16
01-12-2020,1910,1777,16
02-12-2020,1921,1795,16
03-12-2020,1941,1802,16
04-12-2020,1951,1819,16
05-12-2020,1972,1819,16
06-12-2020,1981,1839,16
07-12-2020,1989,1863,16
08-12-2020,1998,1873,16
09-12-2020,2003,1881,16
10-12-2020,2013,1887,16
11-12-2020,2022,1937,16
12-12-2020,2033,1937,17
13-12-2020,2054,1937,17
14-12-2020,2069,1973,17
15-12-2020,2079,1973,17
16-12-2020,2099,1995,17
17-12-2020,2111,2006,17
18-12-2020,2121,2043,17
19-12-2020,2131,2049,17
20-12-2020,2145,2049,17
21-12-2020,2158,2060,17
22-12-2020,2167,2073,17
23-12-2020,2174,2080,17
24-12-2020,2196,2094,17
25-12-2020,2210,2107,17
26-12-2020,2219,2124,17
27-12-2020,2225,2133,17
28-12-2020,2234,2144,17
29-12-2020,2243,2182,17
30-12-2020,2258,2182,17
31-12-2020,2263,2200,17
01-01-2021,2269,2210,17
02-01-2021,2284,2210,17
03-01-2021,2301,2210,17
04-01-2021,2310,2231,17
05-01-2021,2315,2260,17
06-01-2021,2323,2260,17
07-01-2021,2333,2268,17
08-01-2021,2347,2282,17
09-01-2021,2354,2282,17
10-01-2021,2364,2282,17
11-01-2021,2373,2318,17
12-01-2021,2385,2318,17
13-01-2021,2401,2318,17
14-01-2021,2411,2318,17
15-01-2021,2417,2344,17
16-01-2021,2424,2371,17
17-01-2021,2432,2371,17
18-01-2021,2438,2371,17
19-01-2021,2443,2375,17
20-01-2021,2447,2375,17
21-01-2021,2455,2388,17
22-01-2021,2460,2394,17
23-01-2021,2464,2394,17
24-01-2021,2466,2394,17
25-01-2021,2468,2420,17
26-01-2021,2474,2420,17
27-01-2021,2477,2426,17
28-01-2021,2484,2436,17
29-01-2021,2490,2440,17
30-01-2021,2500,2453,17
31-01-2021,2503,2453,17
01-02-2021,2506,2463,17
02-02-2021,2514,2469,17
03-02-2021,2519,2469,17
04-02-2021,2524,2485,17
05-02-2021,2528,2485,17
06-02-2021,2534,2485,17
07-02-2021,2538,2485,17
08-02-2021,2538,2499,17
09-02-2021,2545,2499,17
10-02-2021,2552,2509,17
11-02-2021,2556,2514,17
12-02-2021,2564,2514,17
13-02-2021,2571,2525,17
14-02-2021,2578,2525,17
15-02-2021,2581,2531,17
16-02-2021,2583,2531,17
17-02-2021,2588,2550,17
18-02-2021,2594,2555,17
19-02-2021,2598,2558,17
20-02-2021,2606,2558,17
21-02-2021,2610,2558,17
22-02-2021,2612,2576,17
23-02-2021,2618,2576,17
24-02-2021,2623,2581,17
25-02-2021,2630,2591,17
26-02-2021,2632,2593,17
27-02-2021,2641,2593,17
28-02-2021,2654,2593,17
01-03-2021,2663,2611,17
02-03-2021,2674,2611,17
03-03-2021,2681,2629,17
04-03-2021,2691,2629,17
05-03-2021,2700,2642,17
06-03-2021,2711,2651,17
