Date,Confirmed,Recovered,Deceased
26-04-2020,18,0,1
27-04-2020,18,0,1
28-04-2020,18,0,1
29-04-2020,18,0,1
30-04-2020,19,0,1
01-05-2020,19,0,1
02-05-2020,19,6,1
03-05-2020,20,8,1
04-05-2020,20,13,1
05-05-2020,22,14,2
06-05-2020,22,14,2
07-05-2020,47,14,2
08-05-2020,67,14,2
09-05-2020,71,16,2
10-05-2020,73,22,2
11-05-2020,74,22,2
12-05-2020,75,22,2
13-05-2020,76,22,2
14-05-2020,76,22,2
15-05-2020,77,41,2
16-05-2020,77,62,2
17-05-2020,78,69,2
18-05-2020,81,73,2
19-05-2020,82,75,3
20-05-2020,86,75,3
21-05-2020,93,75,3
22-05-2020,93,76,3
23-05-2020,98,77,3
24-05-2020,99,77,3
25-05-2020,99,77,3
26-05-2020,101,77,3
27-05-2020,101,78,3
28-05-2020,102,88,3
29-05-2020,103,97,3
30-05-2020,109,99,3
31-05-2020,110,100,4
01-06-2020,111,103,5
02-06-2020,111,106,7
03-06-2020,113,106,7
04-06-2020,117,107,7
05-06-2020,118,111,7
06-06-2020,120,111,7
07-06-2020,121,112,7
08-06-2020,125,112,7
09-06-2020,126,114,8
10-06-2020,130,115,10
11-06-2020,132,117,11
12-06-2020,133,118,12
13-06-2020,138,119,12
14-06-2020,144,119,13
15-06-2020,146,121,14
16-06-2020,150,123,14
17-06-2020,152,123,14
18-06-2020,157,125,14
19-06-2020,164,126,14
20-06-2020,167,129,14
21-06-2020,176,132,15
22-06-2020,176,136,15
23-06-2020,179,139,15
24-06-2020,186,144,15
25-06-2020,188,144,15
26-06-2020,189,152,17
27-06-2020,194,160,17
28-06-2020,198,161,18
29-06-2020,204,163,18
30-06-2020,209,167,18
01-07-2020,212,168,19
02-07-2020,216,172,19
03-07-2020,217,172,19
04-07-2020,224,179,20
05-07-2020,229,179,20
06-07-2020,231,183,22
07-07-2020,235,190,22
08-07-2020,237,197,22
09-07-2020,242,199,23
10-07-2020,244,203,24
11-07-2020,248,209,24
12-07-2020,250,210,24
13-07-2020,253,210,24
14-07-2020,254,214,24
15-07-2020,258,216,24
16-07-2020,262,219,24
17-07-2020,262,222,24
18-07-2020,266,223,24
19-07-2020,270,229,24
20-07-2020,275,229,24
21-07-2020,276,233,24
22-07-2020,280,234,24
23-07-2020,283,237,24
24-07-2020,290,237,24
25-07-2020,293,242,24
26-07-2020,296,244,24
27-07-2020,300,248,24
28-07-2020,302,252,24
29-07-2020,303,252,24
30-07-2020,306,255,24
31-07-2020,308,259,24
01-08-2020,311,259,24
02-08-2020,312,262,24
03-08-2020,312,263,24
04-08-2020,317,266,24
05-08-2020,320,267,24
06-08-2020,321,271,24
07-08-2020,325,274,24
08-08-2020,328,277,24
09-08-2020,330,281,24
10-08-2020,331,281,24
11-08-2020,334,283,24
12-08-2020,338,284,24
13-08-2020,342,284,24
