Date,Confirmed,Recovered,Deceased
26-04-2020,29,14,2
27-04-2020,29,14,2
28-04-2020,31,14,2
29-04-2020,31,16,2
30-04-2020,31,20,2
01-05-2020,27,20,2
02-05-2020,27,21,2
03-05-2020,27,21,2
04-05-2020,27,22,2
05-05-2020,27,22,2
06-05-2020,27,22,2
07-05-2020,27,25,2
08-05-2020,27,25,2
09-05-2020,28,25,2
10-05-2020,28,25,2
11-05-2020,31,25,2
12-05-2020,32,25,2
13-05-2020,32,25,2
14-05-2020,32,25,2
15-05-2020,32,25,2
16-05-2020,32,25,2
17-05-2020,32,25,2
18-05-2020,32,25,3
19-05-2020,36,25,3
20-05-2020,37,26,3
21-05-2020,37,26,3
22-05-2020,37,28,3
23-05-2020,37,28,3
24-05-2020,37,28,3
25-05-2020,37,28,3
26-05-2020,37,29,3
27-05-2020,37,29,3
28-05-2020,37,29,3
29-05-2020,38,34,3
30-05-2020,38,34,3
31-05-2020,40,34,3
01-06-2020,40,34,3
02-06-2020,44,34,3
03-06-2020,47,34,3
04-06-2020,48,34,3
05-06-2020,51,34,3
06-06-2020,54,34,3
07-06-2020,56,34,4
08-06-2020,58,35,4
09-06-2020,60,35,4
10-06-2020,62,35,4
11-06-2020,69,37,4
12-06-2020,74,37,5
13-06-2020,78,41,5
14-06-2020,84,41,5
15-06-2020,93,42,5
16-06-2020,99,46,5
17-06-2020,106,46,6
18-06-2020,115,46,6
19-06-2020,124,53,6
20-06-2020,136,53,6
21-06-2020,146,60,6
22-06-2020,151,60,6
23-06-2020,162,79,6
24-06-2020,172,79,6
25-06-2020,181,90,6
26-06-2020,197,93,8
27-06-2020,205,100,8
28-06-2020,212,100,9
29-06-2020,220,104,9
30-06-2020,228,106,9
01-07-2020,243,117,10
02-07-2020,253,131,10
03-07-2020,266,131,10
04-07-2020,281,138,10
05-07-2020,296,138,10
06-07-2020,314,159,10
07-07-2020,329,163,10
08-07-2020,345,163,10
09-07-2020,364,183,11
10-07-2020,378,192,11
11-07-2020,401,210,11
12-07-2020,415,228,11
13-07-2020,430,246,11
14-07-2020,458,246,11
15-07-2020,472,271,11
16-07-2020,501,287,11
17-07-2020,548,307,11
18-07-2020,561,339,11
19-07-2020,579,339,11
20-07-2020,601,365,11
21-07-2020,617,385,11
22-07-2020,644,413,11
23-07-2020,671,420,11
24-07-2020,701,420,11
25-07-2020,726,462,11
26-07-2020,745,476,11
27-07-2020,769,489,11
28-07-2020,788,538,11
29-07-2020,821,549,11
30-07-2020,856,571,11
31-07-2020,877,597,11
01-08-2020,893,609,11
02-08-2020,909,609,11
03-08-2020,927,690,11
04-08-2020,943,705,11
05-08-2020,964,730,11
06-08-2020,983,757,11
07-08-2020,996,771,11
08-08-2020,1007,787,11
09-08-2020,1035,808,11
10-08-2020,1055,832,11
11-08-2020,1095,852,11
12-08-2020,1120,870,11
13-08-2020,1130,887,11
14-08-2020,1153,902,11
15-08-2020,1177,902,11
16-08-2020,1207,913,11
17-08-2020,1223,932,11
18-08-2020,1249,947,11
19-08-2020,1271,961,11
20-08-2020,1291,984,11
21-08-2020,1322,1005,11
22-08-2020,1354,1014,11
23-08-2020,1381,1036,11
24-08-2020,1395,1049,11
25-08-2020,1421,1123,11
26-08-2020,1450,1171,11
27-08-2020,1471,1186,11
28-08-2020,1492,1201,11
29-08-2020,1513,1224,11
30-08-2020,1543,1242,11
31-08-2020,1563,1256,11
01-09-2020,1588,1276,11
02-09-2020,1611,1290,11
03-09-2020,1637,1313,12
04-09-2020,1656,1336,12
05-09-2020,1681,1368,12
06-09-2020,1703,1380,12
07-09-2020,1723,1394,12
08-09-2020,1745,1432,12
09-09-2020,1769,1463,12
10-09-2020,1793,1482,12
11-09-2020,1818,1540,12
12-09-2020,1837,1600,12
13-09-2020,1858,1622,13
14-09-2020,1877,1640,14
15-09-2020,1893,1681,14
16-09-2020,1918,1697,14
17-09-2020,1943,1715,14
18-09-2020,1969,1731,14
19-09-2020,1993,1751,14
20-09-2020,2015,1770,14
21-09-2020,2028,1786,14
22-09-2020,2050,1806,14
23-09-2020,2072,1824,14
24-09-2020,2095,1845,14
25-09-2020,2121,1874,14
26-09-2020,2142,1898,14
27-09-2020,2163,1916,14
28-09-2020,2192,1934,15
29-09-2020,2221,1966,15
30-09-2020,2245,1987,15
01-10-2020,2267,2007,15
02-10-2020,2299,2034,15
03-10-2020,2323,2059,15
04-10-2020,2345,2076,15
05-10-2020,2361,2096,15
06-10-2020,2393,2123,15
07-10-2020,2414,2144,15
08-10-2020,2440,2171,15
09-10-2020,2463,2188,15
10-10-2020,2497,2208,15
11-10-2020,2517,2227,15
12-10-2020,2536,2246,15
13-10-2020,2562,2264,15
14-10-2020,2587,2285,15
15-10-2020,2615,2305,15
16-10-2020,2626,2337,15
17-10-2020,2653,2355,15
18-10-2020,2670,2406,15
19-10-2020,2681,2434,15
20-10-2020,2700,2453,15
21-10-2020,2723,2476,16
22-10-2020,2742,2515,16
23-10-2020,2766,2557,16
24-10-2020,2784,2577,16
25-10-2020,2804,2592,16
26-10-2020,2824,2621,16
27-10-2020,2844,2646,16
28-10-2020,2859,2668,16
29-10-2020,2866,2685,16
30-10-2020,2890,2706,16
31-10-2020,2908,2718,16
01-11-2020,2920,2732,16
02-11-2020,2936,2750,16
03-11-2020,2950,2791,16
04-11-2020,2960,2822,16
05-11-2020,2969,2853,16
06-11-2020,2978,2878,17
07-11-2020,2998,2895,17
08-11-2020,3019,2907,17
09-11-2020,3025,2916,17
10-11-2020,3036,2937,17
11-11-2020,3054,2955,17
12-11-2020,3068,2970,17
13-11-2020,3096,2979,17
14-11-2020,3106,2987,17
15-11-2020,3118,2993,17
16-11-2020,3125,3000,17
17-11-2020,3141,3007,17
18-11-2020,3152,3017,17
19-11-2020,3169,3028,17
20-11-2020,3174,3037,17
21-11-2020,3180,3045,17
22-11-2020,3193,3056,17
23-11-2020,3206,3066,17
24-11-2020,3227,3095,17
25-11-2020,3253,3109,17
26-11-2020,3274,3125,17
27-11-2020,3306,3161,17
28-11-2020,3325,3169,17
29-11-2020,3345,3179,18
30-11-2020,3364,3187,18
01-12-2020,3377,3208,18
02-12-2020,3403,3225,18
03-12-2020,3426,3242,18
04-12-2020,3447,3253,18
05-12-2020,3470,3267,18
06-12-2020,3480,3280,18
07-12-2020,3492,3300,18
08-12-2020,3516,3336,18
09-12-2020,3527,3353,18
10-12-2020,3544,3372,18
11-12-2020,3561,3391,18
12-12-2020,3572,3405,18
13-12-2020,3586,3418,18
14-12-2020,3600,3431,18
15-12-2020,3622,3447,18
16-12-2020,3632,3461,18
17-12-2020,3654,3475,18
18-12-2020,3666,3489,18
19-12-2020,3682,3525,18
20-12-2020,3707,3538,18
21-12-2020,3718,3567,18
22-12-2020,3728,3579,18
23-12-2020,3737,3591,18
24-12-2020,3756,3607,18
25-12-2020,3773,3616,18
26-12-2020,3793,3625,18
27-12-2020,3801,3634,18
28-12-2020,3811,3664,18
29-12-2020,3829,3676,18
30-12-2020,3845,3689,18
31-12-2020,3865,3703,18
01-01-2021,3885,3718,18
02-01-2021,3895,3758,18
03-01-2021,3910,3767,18
04-01-2021,3922,3776,18
05-01-2021,3930,3786,18
06-01-2021,3936,3839,18
07-01-2021,3952,3846,18
08-01-2021,3964,3855,18
09-01-2021,3969,3866,18
10-01-2021,3973,3878,18
11-01-2021,3979,3902,18
12-01-2021,3990,3911,18
13-01-2021,3995,3921,18
14-01-2021,4013,3928,18
15-01-2021,4018,3934,18
16-01-2021,4035,3942,18
17-01-2021,4045,3951,18
18-01-2021,4054,3976,18
19-01-2021,4059,3983,18
20-01-2021,4064,3992,18
21-01-2021,4071,4002,18
22-01-2021,4082,4008,18
23-01-2021,4084,4013,18
24-01-2021,4091,4018,18
25-01-2021,4095,4037,18
26-01-2021,4100,4041,18
27-01-2021,4105,4045,18
28-01-2021,4113,4050,18
29-01-2021,4115,4054,18
30-01-2021,4122,4059,18
31-01-2021,4125,4064,18
01-02-2021,4129,4083,18
02-02-2021,4130,4088,18
03-02-2021,4132,4091,18
04-02-2021,4134,4101,18
05-02-2021,4136,4104,18
06-02-2021,4137,4106,18
07-02-2021,4137,4108,18
08-02-2021,4140,4109,18
09-02-2021,4140,4111,18
10-02-2021,4144,4112,18
11-02-2021,4145,4113,18
12-02-2021,4145,4114,18
13-02-2021,4146,4116,18
14-02-2021,4147,4116,18
15-02-2021,4152,4126,18
16-02-2021,4157,4126,18
17-02-2021,4159,4126,18
18-02-2021,4164,4126,18
19-02-2021,4168,4132,18
20-02-2021,4171,4132,18
21-02-2021,4177,4139,18
22-02-2021,4178,4139,18
23-02-2021,4179,4139,18
24-02-2021,4181,4141,18
25-02-2021,4183,4143,18
26-02-2021,4185,4144,18
27-02-2021,4188,4147,18
28-02-2021,4191,4149,18
01-03-2021,4194,4151,18
02-03-2021,4202,4153,18
03-03-2021,4204,4154,18
04-03-2021,4211,4156,18
05-03-2021,4219,4158,18
06-03-2021,4222,4160,18
07-03-2021,4227,4163,18
08-03-2021,4238,4176,18
09-03-2021,4256,4179,18
10-03-2021,4271,4182,18
11-03-2021,4283,4184,18
12-03-2021,4297,4188,18
13-03-2021,4317,4193,18
14-03-2021,4325,4199,18
15-03-2021,4356,4203,18
16-03-2021,4382,4208,18
17-03-2021,4403,4230,18
18-03-2021,4416,4241,18
19-03-2021,4434,4249,18
20-03-2021,4448,4260,18
21-03-2021,4459,4269,18
22-03-2021,4473,4305,18
23-03-2021,4488,4313,18
24-03-2021,4501,4342,18
25-03-2021,4512,4354,18
26-03-2021,4525,4365,18
27-03-2021,4536,4375,19
28-03-2021,4552,4389,19
29-03-2021,4573,4401,19
30-03-2021,4586,4411,19
31-03-2021,4600,4419,19
01-04-2021,4628,4435,19
02-04-2021,4644,4452,20
03-04-2021,4680,4466,20
04-04-2021,4710,4484,20
05-04-2021,4742,4484,20
06-04-2021,4763,4517,20
07-04-2021,4785,4534,20
08-04-2021,4811,4552,21
09-04-2021,4834,4571,21
10-04-2021,4866,4591,21
11-04-2021,4907,4608,21
12-04-2021,4961,4623,22
13-04-2021,5048,4647,23
14-04-2021,5172,4672,23
15-04-2021,5333,4693,24
16-04-2021,5506,4730,24
17-04-2021,5741,4758,25
18-04-2021,5800,4795,28
19-04-2021,5969,4828,31
20-04-2021,6140,4880,34
21-04-2021,6346,4921,37
22-04-2021,6503,4961,39
23-04-2021,6609,5017,42
24-04-2021,6763,5076,42
25-04-2021,6880,5118,46
26-04-2021,7015,5162,48
27-04-2021,7190,5208,50
28-04-2021,7313,5261,55
29-04-2021,7498,5337,57
30-04-2021,7631,5427,59
01-05-2021,7744,5512,62
02-05-2021,7788,5684,68
03-05-2021,7889,5790,69
04-05-2021,7995,5943,70
05-05-2021,8086,6139,72
06-05-2021,8273,6324,76
07-05-2021,8387,6493,78
08-05-2021,8518,6684,81
09-05-2021,8766,6860,83
10-05-2021,8881,7023,85
11-05-2021,9023,7218,87
12-05-2021,9220,7404,89
13-05-2021,9393,7499,92
14-05-2021,9524,7588,94
15-05-2021,9632,7669,96
16-05-2021,9734,7775,96
17-05-2021,9884,7863,96
18-05-2021,10025,7955,96
19-05-2021,10123,8115,99
20-05-2021,10261,8227,100
21-05-2021,10352,8338,102
22-05-2021,10452,8494,104
23-05-2021,10534,8614,105
24-05-2021,10615,8739,107
25-05-2021,10654,8861,109
26-05-2021,10725,8978,110
27-05-2021,10799,9184,112
28-05-2021,10856,9419,112
29-05-2021,10928,9667,112
30-05-2021,10980,9835,113
31-05-2021,11021,10038,113
01-06-2021,11068,10339,113
02-06-2021,11096,10596,114
03-06-2021,11118,10733,114
04-06-2021,11150,10779,114
05-06-2021,11186,10821,114
06-06-2021,11198,10871,114
07-06-2021,11225,10918,115
08-06-2021,11243,10967,116
09-06-2021,11254,11013,116
10-06-2021,11276,11028,116
11-06-2021,11288,11046,116
12-06-2021,11307,11062,117
13-06-2021,11318,11077,117
14-06-2021,11327,11099,118
15-06-2021,11337,11113,118
16-06-2021,11343,11127,118
17-06-2021,11352,11143,118
18-06-2021,11360,11158,118
19-06-2021,11366,11177,118
20-06-2021,11368,11192,118
21-06-2021,11373,11212,118
22-06-2021,11374,11228,118
23-06-2021,11375,11242,118
24-06-2021,11378,11254,118
25-06-2021,11379,11254,118
26-06-2021,11381,11254,118
27-06-2021,11382,11254,118
28-06-2021,11383,11254,118
29-06-2021,11386,11254,118
30-06-2021,11387,11254,118
01-07-2021,11389,11254,118
02-07-2021,11390,11254,118
03-07-2021,11392,11260,118
04-07-2021,11394,11260,118
05-07-2021,11396,11260,118
06-07-2021,11400,11264,118
07-07-2021,11404,11272,118
08-07-2021,11405,11272,118
09-07-2021,11405,11276,118
10-07-2021,11408,11276,118
11-07-2021,11408,11276,118
12-07-2021,11410,11276,118
13-07-2021,11411,11276,118
14-07-2021,11413,11276,118
15-07-2021,11413,11284,118
16-07-2021,11414,11284,118
17-07-2021,11415,11284,118
18-07-2021,11415,11287,118
19-07-2021,11418,11287,118
20-07-2021,11418,11287,118
21-07-2021,11418,11287,118
22-07-2021,11418,11287,118
23-07-2021,11418,11287,118
24-07-2021,11419,11287,118
25-07-2021,11420,11297,118
26-07-2021,11420,11297,118
27-07-2021,11420,11297,118
28-07-2021,11420,11297,118
29-07-2021,11421,11297,118
30-07-2021,11423,11297,118
31-07-2021,11424,11297,118
01-08-2021,11424,11297,118
02-08-2021,11424,11297,118
03-08-2021,11424,11302,118
04-08-2021,11424,11302,118
05-08-2021,11425,11302,118
06-08-2021,11425,11304,118
07-08-2021,11425,11304,118
08-08-2021,11425,11304,118
09-08-2021,11425,11304,118
10-08-2021,11425,11304,118
11-08-2021,11425,11304,118
12-08-2021,11425,11305,118
13-08-2021,11425,11307,118
14-08-2021,11425,11307,118
15-08-2021,11425,11307,118
16-08-2021,11425,11307,118
17-08-2021,11425,11307,118
18-08-2021,11426,11307,118
19-08-2021,11426,11307,118
20-08-2021,11426,11307,118
21-08-2021,11426,11307,118
22-08-2021,11426,11307,118
23-08-2021,11426,11307,118
24-08-2021,11426,11308,118
25-08-2021,11426,11308,118
26-08-2021,11426,11308,118
27-08-2021,11426,11308,118
28-08-2021,11426,11308,118
29-08-2021,11426,11308,118
30-08-2021,11426,11308,118
31-08-2021,11426,11308,118
01-09-2021,11426,11308,118
02-09-2021,11426,11308,118
03-09-2021,11426,11308,118
04-09-2021,11426,11308,118
05-09-2021,11426,11308,118
06-09-2021,11426,11308,118
07-09-2021,11426,11308,118
08-09-2021,11426,11308,118
09-09-2021,11426,11308,118
10-09-2021,11426,11308,118
11-09-2021,11426,11308,118
12-09-2021,11426,11308,118
13-09-2021,11426,11308,118
14-09-2021,11426,11308,118
15-09-2021,11426,11308,118
16-09-2021,11426,11308,118
17-09-2021,11426,11308,118
18-09-2021,11426,11308,118
19-09-2021,11426,11308,118
20-09-2021,11426,11308,118
21-09-2021,11426,11308,118
22-09-2021,11426,11308,118
23-09-2021,11426,11308,118
24-09-2021,11426,11308,118
25-09-2021,11426,11308,118
26-09-2021,11426,11308,118
27-09-2021,11426,11308,118
28-09-2021,11426,11308,118
29-09-2021,11426,11308,118
30-09-2021,11426,11308,118
01-10-2021,11426,11308,118
02-10-2021,11426,11308,118
03-10-2021,11426,11308,118
04-10-2021,11426,11308,118
05-10-2021,11426,11308,118
06-10-2021,11426,11308,118
07-10-2021,11426,11308,118
08-10-2021,11426,11308,118
09-10-2021,11426,11308,118
10-10-2021,11426,11308,118
11-10-2021,11426,11308,118
12-10-2021,11426,11308,118
13-10-2021,11426,11308,118
14-10-2021,11426,11308,118
15-10-2021,11426,11308,118
16-10-2021,11426,11308,118
17-10-2021,11426,11308,118
18-10-2021,11426,11308,118
19-10-2021,11426,11308,118
20-10-2021,11426,11308,118
21-10-2021,11426,11308,118
22-10-2021,11426,11308,118
23-10-2021,11426,11308,118
24-10-2021,11426,11308,118
25-10-2021,11426,11308,118
26-10-2021,11426,11308,118
27-10-2021,11426,11308,118
28-10-2021,11426,11308,118
29-10-2021,11426,11308,118
30-10-2021,11426,11308,118
31-10-2021,11426,11308,118
