Date,Confirmed,Recovered,Deceased
26-04-2020,40,18,5
27-04-2020,40,19,5
28-04-2020,41,20,5
29-04-2020,43,21,5
30-04-2020,47,21,5
01-05-2020,47,21,5
02-05-2020,53,21,5
03-05-2020,53,21,5
04-05-2020,74,21,5
05-05-2020,76,21,5
06-05-2020,82,21,5
07-05-2020,83,21,5
08-05-2020,84,23,6
09-05-2020,94,27,6
10-05-2020,94,42,7
11-05-2020,95,42,7
12-05-2020,97,42,7
13-05-2020,100,46,7
14-05-2020,103,46,7
15-05-2020,103,69,7
16-05-2020,107,69,8
17-05-2020,108,74,8
18-05-2020,112,75,8
19-05-2020,114,75,8
20-05-2020,114,84,8
21-05-2020,114,84,8
22-05-2020,114,86,8
23-05-2020,114,88,8
24-05-2020,115,91,8
25-05-2020,117,91,8
26-05-2020,119,91,8
27-05-2020,120,97,8
28-05-2020,120,99,8
29-05-2020,120,99,8
30-05-2020,121,102,8
31-05-2020,121,102,8
01-06-2020,122,103,8
02-06-2020,126,103,8
03-06-2020,130,103,9
04-06-2020,132,105,9
05-06-2020,136,105,10
06-06-2020,138,106,10
07-06-2020,140,107,10
08-06-2020,143,107,10
09-06-2020,146,109,10
10-06-2020,154,109,11
11-06-2020,157,114,12
12-06-2020,159,115,12
13-06-2020,166,115,13
14-06-2020,169,118,13
15-06-2020,169,118,13
16-06-2020,170,119,13
17-06-2020,174,121,13
18-06-2020,178,122,13
19-06-2020,180,124,13
20-06-2020,189,128,13
21-06-2020,197,135,13
22-06-2020,200,136,13
23-06-2020,208,139,13
24-06-2020,213,145,13
25-06-2020,218,146,13
26-06-2020,226,147,13
27-06-2020,240,147,13
28-06-2020,248,150,13
29-06-2020,253,150,13
30-06-2020,261,150,13
01-07-2020,267,150,13
02-07-2020,281,152,13
03-07-2020,302,152,13
04-07-2020,322,155,13
05-07-2020,338,156,13
06-07-2020,373,156,13
07-07-2020,394,189,13
08-07-2020,413,193,13
09-07-2020,436,200,13
10-07-2020,507,212,13
11-07-2020,556,222,13
12-07-2020,602,222,13
13-07-2020,642,223,13
14-07-2020,687,227,14
15-07-2020,748,233,15
16-07-2020,798,237,15
17-07-2020,842,253,17
18-07-2020,878,265,17
19-07-2020,913,426,18
20-07-2020,955,429,18
21-07-2020,993,479,19
22-07-2020,1031,595,19
23-07-2020,1070,647,20
24-07-2020,1109,685,20
25-07-2020,1150,732,21
26-07-2020,1181,774,21
27-07-2020,1214,806,22
28-07-2020,1252,848,24
29-07-2020,1287,913,24
30-07-2020,1333,913,24
31-07-2020,1380,958,24
01-08-2020,1424,984,24
02-08-2020,1496,1047,26
03-08-2020,1543,1113,27
04-08-2020,1598,1177,28
05-08-2020,1645,1223,28
06-08-2020,1689,1264,28
07-08-2020,1726,1324,28
08-08-2020,1773,1347,28
09-08-2020,1808,1399,28
10-08-2020,1856,1452,29
11-08-2020,1911,1481,30
12-08-2020,1957,1526,30
13-08-2020,1997,1600,31
14-08-2020,2021,1639,31
15-08-2020,2055,1679,31
16-08-2020,2093,1709,33
17-08-2020,2122,1747,35
18-08-2020,2165,1777,37
19-08-2020,2225,1822,38
20-08-2020,2280,1866,38
21-08-2020,2307,1897,39
22-08-2020,2365,1943,39
23-08-2020,2406,1978,39
24-08-2020,2455,2032,40
25-08-2020,2491,2067,41
26-08-2020,2536,2104,41
27-08-2020,2587,2142,41
28-08-2020,2652,2192,41
29-08-2020,2713,2235,41
30-08-2020,2781,2276,43
31-08-2020,2821,2311,45
01-09-2020,2874,2358,45
02-09-2020,2922,2402,45
03-09-2020,2980,2443,46
04-09-2020,3033,2512,46
05-09-2020,3075,2579,46
06-09-2020,3124,2634,46
07-09-2020,3166,2668,47
08-09-2020,3207,2736,47
09-09-2020,3253,2794,47
10-09-2020,3317,2862,47
11-09-2020,3362,2924,49
12-09-2020,3403,2983,51
13-09-2020,3472,3007,52
14-09-2020,3505,3051,54
15-09-2020,3543,3088,54
16-09-2020,3586,3130,54
17-09-2020,3641,3183,54
18-09-2020,3677,3238,54
19-09-2020,3719,3286,56
20-09-2020,3769,3335,59
21-09-2020,3807,3376,61
22-09-2020,3854,3423,61
23-09-2020,3891,3472,63
24-09-2020,3929,3512,63
25-09-2020,3974,3551,63
26-09-2020,4007,3590,64
27-09-2020,4054,3629,65
28-09-2020,4084,3662,65
29-09-2020,4124,3692,65
30-09-2020,4167,3726,65
01-10-2020,4213,3755,65
02-10-2020,4239,3790,66
03-10-2020,4270,3825,66
04-10-2020,4301,3858,66
05-10-2020,4333,3891,67
06-10-2020,4367,3942,67
07-10-2020,4394,3993,67
08-10-2020,4414,4054,67
09-10-2020,4432,4128,67
10-10-2020,4454,4149,67
11-10-2020,4467,4221,67
12-10-2020,4482,4239,67
13-10-2020,4494,4255,67
14-10-2020,4514,4272,67
15-10-2020,4533,4297,67
16-10-2020,4546,4326,67
17-10-2020,4564,4348,67
18-10-2020,4582,4367,67
19-10-2020,4588,4385,67
20-10-2020,4607,4409,67
21-10-2020,4619,4429,67
22-10-2020,4636,4450,67
23-10-2020,4651,4470,67
24-10-2020,4666,4490,67
25-10-2020,4684,4510,67
26-10-2020,4694,4532,67
27-10-2020,4706,4548,67
28-10-2020,4722,4563,67
29-10-2020,4740,4581,67
30-10-2020,4754,4595,67
31-10-2020,4767,4605,67
01-11-2020,4776,4614,67
02-11-2020,4785,4624,67
03-11-2020,4801,4635,67
04-11-2020,4818,4649,67
05-11-2020,4828,4663,67
06-11-2020,4847,4687,67
07-11-2020,4858,4712,67
08-11-2020,4872,4723,67
09-11-2020,4880,4729,67
10-11-2020,4888,4738,67
11-11-2020,4902,4749,67
12-11-2020,4915,4762,67
13-11-2020,4923,4783,67
14-11-2020,4933,4792,67
15-11-2020,4938,4798,67
16-11-2020,4950,4802,67
17-11-2020,4957,4815,67
18-11-2020,4971,4824,67
19-11-2020,4983,4839,67
20-11-2020,4997,4849,67
21-11-2020,5016,4862,67
22-11-2020,5039,4873,68
23-11-2020,5065,4902,68
24-11-2020,5083,4927,68
25-11-2020,5102,4943,68
26-11-2020,5110,4954,68
27-11-2020,5136,4966,68
28-11-2020,5163,4990,68
29-11-2020,5192,5017,68
30-11-2020,5206,5047,68
01-12-2020,5225,5059,68
02-12-2020,5243,5077,68
03-12-2020,5263,5095,68
04-12-2020,5288,5114,68
05-12-2020,5305,5134,68
06-12-2020,5331,5150,68
07-12-2020,5363,5172,68
08-12-2020,5383,5199,68
09-12-2020,5405,5220,68
10-12-2020,5425,5241,68
11-12-2020,5460,5261,68
12-12-2020,5488,5289,68
13-12-2020,5507,5309,68
14-12-2020,5523,5331,68
15-12-2020,5535,5351,68
16-12-2020,5560,5374,68
17-12-2020,5587,5396,68
18-12-2020,5604,5422,68
19-12-2020,5620,5443,68
20-12-2020,5642,5468,68
21-12-2020,5661,5484,68
22-12-2020,5676,5499,68
23-12-2020,5691,5525,68
24-12-2020,5714,5549,68
25-12-2020,5737,5565,68
26-12-2020,5759,5594,68
27-12-2020,5782,5608,68
28-12-2020,5800,5634,68
29-12-2020,5807,5652,68
30-12-2020,5818,5661,68
31-12-2020,5825,5671,68
01-01-2021,5827,5679,68
02-01-2021,5835,5684,68
03-01-2021,5843,5711,68
04-01-2021,5858,5715,68
05-01-2021,5862,5723,68
06-01-2021,5870,5732,68
07-01-2021,5885,5747,68
08-01-2021,5892,5758,68
09-01-2021,5897,5764,68
10-01-2021,5908,5772,68
11-01-2021,5916,5782,68
12-01-2021,5930,5801,68
13-01-2021,5941,5813,68
14-01-2021,5949,5824,68
15-01-2021,5954,5833,68
16-01-2021,5962,5845,68
17-01-2021,5973,5851,68
18-01-2021,5976,5857,68
19-01-2021,5982,5865,68
20-01-2021,5994,5868,68
21-01-2021,6001,5876,68
22-01-2021,6007,5883,68
23-01-2021,6014,5889,68
24-01-2021,6016,5892,68
25-01-2021,6019,5898,68
26-01-2021,6024,5902,68
27-01-2021,6028,5908,68
28-01-2021,6031,5911,68
29-01-2021,6035,5916,68
30-01-2021,6040,5922,68
31-01-2021,6041,5924,68
01-02-2021,6041,5925,68
