Date,Confirmed,Recovered,Deceased
26-04-2020,4,1,0
27-04-2020,4,1,0
28-04-2020,4,1,0
29-04-2020,4,1,0
30-04-2020,5,1,0
01-05-2020,5,2,0
02-05-2020,6,2,0
03-05-2020,7,2,0
04-05-2020,13,2,0
05-05-2020,13,2,0
06-05-2020,15,2,0
07-05-2020,19,2,0
08-05-2020,19,2,0
09-05-2020,20,2,0
10-05-2020,20,4,0
11-05-2020,20,4,0
12-05-2020,20,5,0
13-05-2020,20,5,0
14-05-2020,20,11,0
15-05-2020,20,11,0
16-05-2020,22,16,0
17-05-2020,24,16,0
18-05-2020,28,16,0
19-05-2020,28,16,0
20-05-2020,29,16,0
21-05-2020,32,18,0
22-05-2020,32,18,0
23-05-2020,32,18,0
24-05-2020,36,18,0
25-05-2020,36,18,0
26-05-2020,36,18,0
27-05-2020,36,22,0
28-05-2020,36,22,0
29-05-2020,36,26,0
30-05-2020,36,26,0
31-05-2020,36,26,0
01-06-2020,36,28,0
02-06-2020,40,32,0
03-06-2020,41,32,0
04-06-2020,45,32,0
05-06-2020,45,32,0
06-06-2020,45,32,0
07-06-2020,46,32,0
08-06-2020,46,32,0
09-06-2020,46,32,0
10-06-2020,46,32,0
11-06-2020,48,34,0
12-06-2020,48,34,0
13-06-2020,48,35,0
14-06-2020,48,36,0
15-06-2020,48,40,0
16-06-2020,48,40,0
17-06-2020,49,41,0
18-06-2020,49,42,0
19-06-2020,51,42,0
20-06-2020,51,43,0
21-06-2020,52,43,0
22-06-2020,52,43,0
23-06-2020,53,44,0
24-06-2020,54,44,0
25-06-2020,55,44,0
26-06-2020,57,44,0
27-06-2020,59,44,0
28-06-2020,59,44,0
29-06-2020,59,44,0
30-06-2020,59,46,0
01-07-2020,61,46,1
02-07-2020,64,47,1
03-07-2020,65,47,1
04-07-2020,66,49,1
05-07-2020,74,49,1
06-07-2020,79,49,1
07-07-2020,85,49,1
08-07-2020,103,52,1
09-07-2020,116,52,1
10-07-2020,124,52,1
11-07-2020,127,52,2
12-07-2020,136,56,2
13-07-2020,152,56,2
14-07-2020,171,56,2
15-07-2020,183,61,2
16-07-2020,199,61,2
17-07-2020,214,61,2
18-07-2020,224,61,2
19-07-2020,243,61,4
20-07-2020,255,61,4
21-07-2020,294,61,4
22-07-2020,321,61,5
23-07-2020,352,61,5
24-07-2020,370,61,5
25-07-2020,395,72,5
26-07-2020,425,106,5
27-07-2020,452,107,5
28-07-2020,490,120,5
29-07-2020,523,128,5
30-07-2020,554,137,5
31-07-2020,568,146,5
01-08-2020,598,146,5
02-08-2020,615,185,5
03-08-2020,644,185,5
04-08-2020,667,185,5
05-08-2020,685,185,5
06-08-2020,696,185,5
07-08-2020,717,386,5
08-08-2020,744,419,5
09-08-2020,762,419,5
10-08-2020,776,475,5
11-08-2020,798,492,5
12-08-2020,819,502,5
13-08-2020,844,546,5
14-08-2020,867,573,5
15-08-2020,884,573,5
16-08-2020,910,573,5
17-08-2020,922,615,5
18-08-2020,950,615,5
19-08-2020,978,615,5
20-08-2020,1010,678,5
21-08-2020,1038,678,5
22-08-2020,1052,678,5
23-08-2020,1070,736,5
24-08-2020,1078,736,5
25-08-2020,1095,777,5
26-08-2020,1114,795,6
27-08-2020,1133,815,6
28-08-2020,1148,815,6
29-08-2020,1166,855,6
30-08-2020,1183,882,6
31-08-2020,1196,911,6
01-09-2020,1212,932,6
02-09-2020,1227,954,6
03-09-2020,1245,965,6
04-09-2020,1257,975,6
05-09-2020,1274,975,6
06-09-2020,1291,975,6
07-09-2020,1309,975,6
08-09-2020,1329,1044,6
09-09-2020,1351,1044,6
10-09-2020,1369,1044,6
11-09-2020,1389,1044,6
12-09-2020,1409,1100,6
13-09-2020,1426,1100,6
14-09-2020,1449,1100,6
