Date,Confirmed,Recovered,Deceased
26-04-2020,25,12,2
27-04-2020,30,12,2
28-04-2020,36,12,2
29-04-2020,38,12,2
30-04-2020,48,12,2
01-05-2020,49,12,2
02-05-2020,67,13,2
03-05-2020,70,14,3
04-05-2020,77,14,3
05-05-2020,79,14,4
06-05-2020,83,15,5
07-05-2020,88,20,5
08-05-2020,97,20,5
09-05-2020,119,20,5
10-05-2020,129,32,5
11-05-2020,139,33,5
12-05-2020,142,45,5
13-05-2020,142,53,5
14-05-2020,146,61,5
15-05-2020,157,62,5
16-05-2020,163,63,6
17-05-2020,168,66,6
18-05-2020,180,68,6
19-05-2020,190,72,7
20-05-2020,193,82,8
21-05-2020,198,90,8
22-05-2020,201,104,10
23-05-2020,210,113,10
24-05-2020,221,114,10
25-05-2020,225,121,13
26-05-2020,232,125,13
27-05-2020,237,129,13
28-05-2020,241,136,13
29-05-2020,249,148,13
30-05-2020,261,150,14
31-05-2020,274,157,14
01-06-2020,285,161,14
02-06-2020,300,163,14
03-06-2020,339,171,14
04-06-2020,360,172,15
05-06-2020,381,172,15
06-06-2020,401,181,15
07-06-2020,420,188,16
08-06-2020,424,189,18
09-06-2020,432,191,18
10-06-2020,434,203,19
11-06-2020,445,210,19
12-06-2020,450,250,21
13-06-2020,459,268,21
14-06-2020,467,280,21
15-06-2020,482,304,21
16-06-2020,504,306,21
17-06-2020,520,307,22
18-06-2020,531,322,23
19-06-2020,540,327,23
20-06-2020,548,331,23
21-06-2020,563,346,23
22-06-2020,570,350,23
23-06-2020,580,366,25
24-06-2020,587,382,25
25-06-2020,602,418,27
26-06-2020,616,431,27
27-06-2020,625,443,28
28-06-2020,636,452,29
29-06-2020,638,454,29
30-06-2020,654,475,31
01-07-2020,670,490,31
02-07-2020,677,502,31
03-07-2020,693,518,31
04-07-2020,708,520,31
05-07-2020,719,533,32
06-07-2020,736,546,32
07-07-2020,754,563,33
08-07-2020,773,573,33
09-07-2020,805,589,33
10-07-2020,836,595,34
11-07-2020,864,613,34
12-07-2020,893,627,34
13-07-2020,918,651,35
14-07-2020,944,665,36
15-07-2020,974,677,37
16-07-2020,1001,689,37
17-07-2020,1033,706,38
18-07-2020,1061,731,38
19-07-2020,1091,741,38
20-07-2020,1111,771,38
21-07-2020,1142,829,38
22-07-2020,1173,849,38
23-07-2020,1204,874,38
24-07-2020,1230,899,39
25-07-2020,1259,914,40
26-07-2020,1278,933,41
27-07-2020,1312,952,41
28-07-2020,1356,983,42
29-07-2020,1406,1024,42
30-07-2020,1443,1063,44
31-07-2020,1483,1084,44
01-08-2020,1512,1169,44
02-08-2020,1541,1206,45
03-08-2020,1566,1221,45
04-08-2020,1594,1242,45
05-08-2020,1621,1267,46
06-08-2020,1653,1276,46
07-08-2020,1680,1317,46
08-08-2020,1710,1366,47
09-08-2020,1737,1403,47
10-08-2020,1763,1438,47
11-08-2020,1793,1482,47
12-08-2020,1823,1520,47
13-08-2020,1856,1550,48
14-08-2020,1894,1584,49
15-08-2020,1923,1613,49
16-08-2020,1952,1641,49
17-08-2020,1984,1666,49
18-08-2020,2011,1702,49
19-08-2020,2038,1729,50
20-08-2020,2063,1761,51
21-08-2020,2097,1775,51
22-08-2020,2124,1800,51
23-08-2020,2152,1820,51
24-08-2020,2178,1838,51
25-08-2020,2208,1857,51
26-08-2020,2251,1891,51
27-08-2020,2279,1909,51
28-08-2020,2317,1937,51
29-08-2020,2352,1964,51
30-08-2020,2401,1989,51
31-08-2020,2437,2017,52
01-09-2020,2474,2046,52
02-09-2020,2512,2075,54
03-09-2020,2551,2092,55
04-09-2020,2587,2113,56
05-09-2020,2622,2136,57
06-09-2020,2663,2166,58
07-09-2020,2697,2197,58
08-09-2020,2732,2221,59
09-09-2020,2767,2266,61
