Date,Confirmed,Recovered,Deceased
19-03-2020,2,0,0
20-03-2020,7,0,0
21-03-2020,14,0,0
22-03-2020,18,0,0
23-03-2020,30,0,0
24-03-2020,36,0,0
25-03-2020,38,0,0
26-03-2020,44,0,0
27-03-2020,47,0,0
28-03-2020,55,0,0
29-03-2020,63,1,5
30-03-2020,70,3,6
31-03-2020,74,5,6
01-04-2020,87,5,6
02-04-2020,88,10,7
03-04-2020,95,10,9
04-04-2020,108,13,10
05-04-2020,128,21,11
06-04-2020,146,22,12
07-04-2020,175,25,14
08-04-2020,186,25,16
09-04-2020,262,26,18
10-04-2020,378,33,19
11-04-2020,468,44,22
12-04-2020,516,44,24
13-04-2020,572,54,26
14-04-2020,650,59,28
15-04-2020,766,64,33
16-04-2020,929,73,36
17-04-2020,1099,86,41
18-04-2020,1376,93,53
19-04-2020,1743,105,63
20-04-2020,1939,131,71
21-04-2020,2178,139,90
22-04-2020,2407,179,103
23-04-2020,2624,258,112
24-04-2020,2815,265,127
25-04-2020,3071,282,133
26-04-2020,3301,313,151
27-04-2020,3548,394,162
28-04-2020,3774,434,181
29-04-2020,4082,527,197
30-04-2020,4395,613,214
01-05-2020,4721,736,236
02-05-2020,5054,896,262
03-05-2020,5428,1042,290
04-05-2020,5804,1195,319
05-05-2020,6245,1381,368
06-05-2020,6625,1500,396
07-05-2020,7013,1709,425
08-05-2020,7403,1872,449
09-05-2020,7797,2091,472
10-05-2020,8195,2545,493
11-05-2020,8542,2780,513
12-05-2020,8904,3246,537
13-05-2020,9268,3562,566
14-05-2020,9592,3753,586
15-05-2020,9932,4035,606
16-05-2020,10989,4308,625
17-05-2020,11380,4499,659
18-05-2020,11746,4804,694
19-05-2020,12141,5043,719
20-05-2020,12539,5219,749
21-05-2020,12910,5488,773
22-05-2020,13273,5880,802
23-05-2020,13669,6169,829
24-05-2020,14063,6412,858
25-05-2020,14468,6636,888
26-05-2020,14829,7137,915
27-05-2020,15205,7547,938
28-05-2020,15572,8001,960
29-05-2020,15944,8609,980
30-05-2020,16356,9230,1007
31-05-2020,16794,9919,1038
01-06-2020,17217,10780,1063
02-06-2020,17632,11894,1092
03-06-2020,18117,12212,1122
04-06-2020,18609,12667,1155
05-06-2020,19119,13011,1190
06-06-2020,19617,13324,1219
07-06-2020,20097,13643,1249
08-06-2020,20574,13964,1280
09-06-2020,21044,14373,1313
10-06-2020,21554,14743,1347
11-06-2020,22067,15109,1385
12-06-2020,22562,15501,1416
13-06-2020,23079,15891,1449
14-06-2020,23590,16333,1478
15-06-2020,24104,16672,1506
16-06-2020,24628,17090,1534
17-06-2020,25148,17438,1561
18-06-2020,25658,17827,1592
19-06-2020,26198,18167,1619
20-06-2020,26737,18702,1639
21-06-2020,27317,19357,1664
22-06-2020,27880,19917,1685
23-06-2020,28429,20521,1711
24-06-2020,29001,21096,1736
25-06-2020,29578,21506,1754
26-06-2020,30158,22038,1772
27-06-2020,30773,22417,1790
28-06-2020,31397,22808,1809
29-06-2020,32023,23248,1828
30-06-2020,32643,23670,1848
01-07-2020,33318,24038,1869
02-07-2020,33999,24601,1888
03-07-2020,34686,24941,1906
04-07-2020,35398,25414,1927
05-07-2020,36123,25900,1945
06-07-2020,36858,26323,1962
07-07-2020,37636,26744,1979
08-07-2020,38419,27313,1995
09-07-2020,39280,27742,2010
10-07-2020,40155,28183,2024
11-07-2020,41027,28685,2034
12-07-2020,41906,29198,2047
13-07-2020,42808,29806,2057
14-07-2020,43723,30555,2071
15-07-2020,44648,31346,2081
16-07-2020,45567,32174,2091
17-07-2020,46516,32944,2108
18-07-2020,47476,34005,2127
19-07-2020,48441,34882,2147
20-07-2020,49439,35659,2167
21-07-2020,50465,36403,2201
22-07-2020,51485,37240,2229
23-07-2020,52563,37958,2257
24-07-2020,53631,38830,2283
25-07-2020,54712,39612,2305
26-07-2020,55822,40365,2326
27-07-2020,56874,41380,2348
28-07-2020,57982,42412,2372
29-07-2020,59126,43195,2396
30-07-2020,60285,44074,2418
31-07-2020,61438,44907,2441
01-08-2020,62574,45782,2465
02-08-2020,63675,46587,2487
03-08-2020,64684,47561,2509
04-08-2020,65704,48459,2534
05-08-2020,66777,49505,2557
06-08-2020,67811,50422,2584
07-08-2020,68885,51792,2606
08-08-2020,69986,52927,2629
09-08-2020,71064,54238,2654
10-08-2020,72120,55376,2674
11-08-2020,73238,56516,2697
12-08-2020,74390,57493,2715
13-08-2020,75482,58539,2733
14-08-2020,76569,59622,2748
15-08-2020,77663,60637,2767
16-08-2020,78783,61596,2787
17-08-2020,79816,62679,2802
18-08-2020,80942,63810,2822
19-08-2020,82087,64930,2839
20-08-2020,83262,66053,2855
21-08-2020,84466,67377,2869
22-08-2020,85678,68357,2883
23-08-2020,86779,69329,2897
24-08-2020,87846,70350,2910
25-08-2020,88942,71361,2930
26-08-2020,90139,72408,2947
27-08-2020,91329,73601,2964
28-08-2020,92601,74651,2978
29-08-2020,93883,75762,2991
30-08-2020,95155,76857,3008
31-08-2020,96435,77882,3022
01-09-2020,97745,79013,3036
02-09-2020,99050,80154,3048
03-09-2020,100375,81280,3064
04-09-2020,101695,82498,3078
05-09-2020,103006,83646,3094
06-09-2020,104341,84858,3108
07-09-2020,105671,86134,3123
08-09-2020,106966,87579,3136
09-09-2020,108295,88915,3152
10-09-2020,109627,90330,3167
11-09-2020,110971,91570,3183
12-09-2020,112336,92905,3198
13-09-2020,113662,94110,3213
14-09-2020,114996,95365,3230
15-09-2020,116345,96809,3247
16-09-2020,117709,98256,3259
17-09-2020,119088,99908,3273
18-09-2020,120498,101201,3289
19-09-2020,121930,102671,3305
20-09-2020,123337,103875,3322
21-09-2020,124767,105191,3339
22-09-2020,126169,106512,3355
23-09-2020,127541,107801,3370
24-09-2020,128949,109311,3384
25-09-2020,130391,110590,3396
26-09-2020,131808,112009,3409
27-09-2020,133219,113240,3419
28-09-2020,134623,114576,3431
29-09-2020,136004,115959,3442
30-09-2020,137394,117331,3453
01-10-2020,138745,118665,3463
02-10-2020,140055,119915,3478
03-10-2020,141398,121219,3490
04-10-2020,142700,122465,3499
05-10-2020,144027,123870,3512
06-10-2020,145362,125343,3522
07-10-2020,146673,126757,3531
08-10-2020,147951,128023,3541
09-10-2020,149194,129541,3550
10-10-2020,150415,130997,3560
11-10-2020,151596,132410,3569
12-10-2020,152765,133852,3577
13-10-2020,153923,135227,3587
14-10-2020,155098,136641,3598
15-10-2020,156283,137970,3609
16-10-2020,157474,139249,3620
17-10-2020,158635,140519,3629
18-10-2020,159726,141752,3638
19-10-2020,160722,142899,3646
20-10-2020,161848,144027,3654
21-10-2020,162985,145207,3663
22-10-2020,164121,146408,3670
23-10-2020,165233,147672,3676
24-10-2020,166254,148685,3682
25-10-2020,167173,149648,3689
26-10-2020,168081,150750,3693
27-10-2020,169073,151988,3698
28-10-2020,170053,153095,3704
29-10-2020,171040,154178,3708
30-10-2020,172009,155205,3714
31-10-2020,172944,156219,3719
01-11-2020,173804,157347,3724
02-11-2020,174679,158351,3728
03-11-2020,175633,159548,3734
